0:18:56.184		Bassett - - - - - Levitz Bassett - . TRUCK FROM OTHER SIDE! THE STACK UNIT PECAN FIRST BERI - - - - - FURNITURE i FRAGAL - OF - -	
0:18:57.059		Bassett - - - - - Levitz Bassett - - . TRUCK FROM OTHER SIDE THE  FIRST BER - - FRENCE FRADALE - with a - -	
0:18:57.143			ER
0:18:58.142		Bassett M - - - - Lavitz E Lavit	
0:18:59.058		Levitz	
0:18:59.892		WINNO Levitz HEYWOOD- WAKEFIELD MW ID	
0:19:00.933		00 NOT DROP UP FURNITU FILABILE HANDLE Levitz SIMMONS S FREE The have IN SLIEP I DIXIE UP FURNITURE masville FRAGILE. HANDLE WITH GARY STRO PART NO. RE INDUSTRIES INC sville, North Careline KROEHLER	
0:19:00.996			UP KROEHLER SIMMONS S FURNITURE masville PART NO.
0:19:01.934		00 NOT DROP UP FURNITU Levitz Good FIABLE HANDLE IMMONS 1 and this in 3.477 case I DIXIE UP FURNITURE masville FRAGILE HANDLE WITH CART a STRO PART NO. URE INDUSTRIES INC. sville, North Careline KROEHLER	
0:19:02.892		489	
0:19:04.933		OPEN Levitz HEYWOOD- WAKERIELD H BLU GAPLE	
0:19:05.933		OPEN the	
0:19:09.934		- - UP - IMMONS 1 - the FURNITURE - - - - - Them BERRLINE a	
0:19:10.932		Lavity Baseets - TALUCH FROM OTHER SUDE the BERALINE i CO a - - - - Levit ART	
0:19:10.996			ERKLINE
0:19:11.933		- - UP - MMONS I - US FURNITURE - - - - Themaseille K BERKLINE DO ARDEHLER - - -	
0:19:12.932		- - UP - I SIMMONS I .. can - - with - - - Themasrille KROEHLER BERRLINE HER KADENLER - - - - - t	
0:19:13.933		1 BERKLINE ANGELLER	
0:19:14.932		MAST E SN BAS	
0:19:15.933		LAS SN ni - in	
0:19:16.932		BAR NX ... with	
0:19:17.974		... NN 01-m	
0:19:18.912		00 NOT DROP UP FURNITU FRAGILE Levitz I I and DEXIE DE UP FURNITURE masville FRAGILE. HANDLE WITH CARI 0.4 STRO PART NO. RE INDUSTRIES INC avilla North Corolina KROEHLER	
0:19:19.016			UP KROEHLER FURNITURE masville
0:19:21.933		present Levity	
0:19:22.932		area Levity File	
0:19:23.933		UP FURNITURE FRAGILE HANDLE WITH CARE 1201G-7506 G HEYWOOD- WAKEFIELD HW EST. 1826 GARDNER, MASS.	
0:19:23.974			UP FURNITURE HEYWOOD WAKEFIELD EST. 1826 GARDNER, MASS
0:19:24.911		UP FURNITURE FRADILE HANDLE WITH CARE @MG-7506 G HEYWOOD- WAKEFIELD HW EST.1826 ARDKER MASS	
0:19:25.933		SIMMONS FURNITURE - - - - - the C KROEHLEK - Baix - - KROEHLER	
